ReinChange = 16, Volatility: 1.55, BradleyChange = 16, Volatility: 1.55, ThomasChange = 16, Volatility: 1.55, HoekChange = 16, Volatility: 1.55, JackChange = -16, Volatility: 1.55, WesselChange = -16, Volatility: 1.55, TomChange = -16, Volatility: 1.55, NielsChange = -16, Volatility: 1.55, Team1Perf = 1200, Team2Perf = 800, DateOfMatch = 21/10/2022 15:44:22
LukeChange = 0.6322364042192188, Volatility: 1.08125, ReinChange = -3.1611820210960935, Volatility: 0.9944444444444445, KoenChange = 1.4752182765115105, Volatility: 1.3416666666666668, LuddowChange = 1.0537273403653646, Volatility: 1.55, JackChange = -6.018022792710192, Volatility: 1.08125, NielsChange = -0.5278967362026483, Volatility: 1.3416666666666668, TomChange = -0.5278967362026483, Volatility: 1.3416666666666668, ThomasChange = -7.0738162651154886, Volatility: 1.1928571428571428, Team1Perf = 1385, Team2Perf = 602, DateOfMatch = 21/10/2022 15:50:17
ReinChange = -0.0038812738170619573, Volatility: 0.925, LukeChange = -0.0005062531065732988, Volatility: 0.9944444444444445, BradleyChange = -0.009956311095941542, Volatility: 1.3416666666666668, AdamChange = 0.014343838019576798, Volatility: 1.08125, ThomasChange = -0.00815630005034759, Volatility: 1.08125, MossChange = 0.005343782791607042, Volatility: 1.08125, AaronChange = 0.015468844923073016, Volatility: 1.1928571428571428, AlexChange = -0.012656327664332468, Volatility: 1.08125, Team1Perf = 1002, Team2Perf = 1001, DateOfMatch = 21/10/2022 15:50:17
ReinChange = -14.369536326101265, Volatility: 0.8681818181818182, AdamChange = 22.991258121762026, Volatility: 0.9944444444444445, BradleyChange = -27.302119019592407, Volatility: 1.1928571428571428, TomChange = 18.680397223931646, Volatility: 1.1928571428571428, LukeChange = -1.0779835798421715, Volatility: 0.925, MossChange = -9.701852218579543, Volatility: 0.9944444444444445, ThomasChange = -8.98319649868476, Volatility: 0.9944444444444445, JeftaChange = -1.796639299736952, Volatility: 1.55, Team1Perf = 2001, Team2Perf = -3, DateOfMatch = 21/10/2022 15:50:17
MarlonChange = 0.4587623621211757, Volatility: 1.55, LuddowChange = 1.0704455116160767, Volatility: 1.3416666666666668, ReinChange = -1.6821286611109776, Volatility: 0.8208333333333333, MossChange = 0.15292078737372522, Volatility: 0.925, LukeChange = 2.3815021364146207, Volatility: 0.8681818181818182, TomChange = 2.7784191591503906, Volatility: 1.08125, ThomasChange = 0.39691702273577006, Volatility: 0.925, JackChange = 4.763004272829241, Volatility: 0.9944444444444445, Team1Perf = 789, Team2Perf = 1198, DateOfMatch = 21/10/2022 15:50:17
AlexChange = 2.834202284462102, Volatility: 0.9944444444444445, MossChange = -0.5668404568924205, Volatility: 0.8681818181818182, ReinChange = 2.456308646533822, Volatility: 0.7807692307692307, HoekChange = -4.723670474103503, Volatility: 1.1928571428571428, LukeChange = -5.37241428313861, Volatility: 0.8208333333333333, AdamChange = -5.37241428313861, Volatility: 0.925, RachelChange = -3.1103451112907745, Volatility: 1.55, JackChange = -13.855173677567993, Volatility: 0.925, Team1Perf = 1394, Team2Perf = 598, DateOfMatch = 21/10/2022 15:50:17
ReinChange = 0.5125906668574786, Volatility: 0.7464285714285714, LukeChange = -0.23299575766249025, Volatility: 0.7807692307692307, MossChange = -0.41939236379248246, Volatility: 0.8208333333333333, RachelChange = 0.13979745459749418, Volatility: 1.3416666666666668, AdamChange = -1.1226755892899918, Volatility: 0.8681818181818182, ThomasChange = -0.935562991074993, Volatility: 0.8681818181818182, KoenChange = -1.4969007857199887, Volatility: 1.1928571428571428, NielsChange = -1.6840133839349873, Volatility: 1.1928571428571428, Team1Perf = 1193, Team2Perf = 797, DateOfMatch = 21/10/2022 15:50:17
ReinChange = 1.675261508540891, Volatility: 0.7166666666666666, AlvesChange = -2.792102514234818, Volatility: 1.55, AlexChange = 3.9089435199287457, Volatility: 0.925, MossChange = -2.792102514234818, Volatility: 0.7807692307692307, GarrettChange = -12.699977564157562, Volatility: 1.55, GallagherChange = -12.699977564157562, Volatility: 1.55, LukeChange = -11.545434149234147, Volatility: 0.7464285714285714, JackChange = -36.94538927754927, Volatility: 0.8681818181818182, Team1Perf = 1789, Team2Perf = 197, DateOfMatch = 21/10/2022 15:50:17
GallagherChange = -4.166231338824053, Volatility: 1.3416666666666668, JackChange = 23.066695461294152, Volatility: 0.8208333333333333, LuddowChange = -10.669616843329893, Volatility: 1.1928571428571428, ReinChange = -8.230847279140203, Volatility: 0.690625, LukeChange = -2.9304457652651554, Volatility: 0.7166666666666666, GarrettChange = -2.9304457652651554, Volatility: 1.3416666666666668, AlvesChange = -2.9304457652651554, Volatility: 1.3416666666666668, AlexChange = -2.9304457652651554, Volatility: 0.8681818181818182, Team1Perf = 1393, Team2Perf = 577, DateOfMatch = 21/10/2022 15:50:17
ReinChange = 1.5614602151526094, Volatility: 0.6676470588235293, RikChange = -2.899854685283417, Volatility: 1.55, LukeChange = 3.3459861753270195, Volatility: 0.690625, RachelChange = -2.0075917051962118, Volatility: 1.1928571428571428, AlvesChange = -3.3544677625902057, Volatility: 1.1928571428571428, AaronChange = -12.746977497842783, Volatility: 1.08125, JackChange = -19.455913023023196, Volatility: 0.7807692307692307, AlexChange = -3.3544677625902057, Volatility: 0.8208333333333333, Team1Perf = 1388, Team2Perf = 593, DateOfMatch = 21/10/2022 15:50:17
LukeChange = 2.7257931790149366, Volatility: 0.6676470588235293, AaronChange = -3.564498772557994, Volatility: 0.9944444444444445, AlexChange = 1.4677347887003505, Volatility: 0.7807692307692307, RikChange = -0.629029195157293, Volatility: 1.3416666666666668, ReinChange = -6.416194479325647, Volatility: 0.6472222222222221, JackChange = -21.352253759067317, Volatility: 0.7464285714285714, RachelChange = -8.099130736197948, Volatility: 1.08125, AlvesChange = -6.836928543543722, Volatility: 1.08125, Team1Perf = 1376, Team2Perf = 596, DateOfMatch = 21/10/2022 15:50:17
